,time,soc,curr,volt
235,14:16.7,76.5,-34.8,353.5
236,14:24.7,76,80.5,347.4
237,14:32.7,76,56,347.5
238,14:40.5,76,62.5,347.8
239,14:50.7,76,-44.3,353.1
240,14:58.8,76,-48.5,353.5
241,15:16.0,76,-74.2,355.6
242,15:17.3,76,-74.2,355.6
243,15:17.3,76,-74.2,355.6
244,15:19.7,76,113.3,345.5
245,15:33.9,76,93.5,345.4
246,15:35.0,76,93.5,345.4
247,15:50.0,76,32.8,349
248,15:50.0,76,32.8,349
249,15:54.2,75.5,7.4,350.9
250,16:02.1,76,-72,355.8
251,16:10.1,76,63.6,348.4
252,16:17.6,76,30.6,350.5
253,16:27.3,75.5,30.1,350.1
254,16:35.1,75.5,0.9,351.5
255,16:42.6,75.5,-61.6,355.5
256,16:50.1,76,3.6,351.9
257,16:57.7,75.5,4.5,352.1
258,17:05.2,75.5,3.4,352.1
259,17:13.0,75.5,4.1,352.1
260,17:20.4,75.5,2.8,352.1
261,17:28.2,75.5,4.1,352.1
262,17:35.9,75.5,4,352.1
263,17:43.5,75.5,3.3,351.7
264,17:51.4,75.5,4.1,352.1
265,17:59.4,75.5,2.8,352.1
266,18:07.4,75.5,4.3,352.1
267,18:15.3,75.5,4.1,352
268,18:22.9,75.5,3.8,351.7
269,18:30.5,75.5,10.3,351.8
270,18:38.5,75.5,23.5,350.6
271,18:46.5,75.5,-7.1,352.6
272,18:54.3,75.5,5.3,351.9
273,19:02.0,75.5,3.9,351.8
274,19:09.3,75.5,4.1,352
275,19:16.8,75.5,3.6,351.6
276,19:24.3,75.5,4.3,352
277,19:31.8,75.5,3.6,352
278,19:39.3,75.5,4.3,352
279,19:46.8,75.5,3.6,352
280,19:54.3,75.5,3.6,351.6
281,20:01.8,75.5,4.2,352
282,20:09.3,75.5,3.4,352
283,20:16.9,75.5,3.4,352
284,20:24.4,75.5,3.3,352
285,20:31.9,75.5,3.4,351.7
286,20:39.6,75.5,4,352
287,20:46.9,75.5,4.1,351.6
288,20:54.4,75.5,5.3,351.9
289,21:01.9,75.5,48.6,348.7
290,21:09.4,75.5,113.8,344.4
291,21:16.9,75.5,70.1,347
292,21:24.6,75,22.1,349.4
293,21:32.4,75,9.1,350.8
294,21:43.4,75,11,350.3
295,21:46.1,75,11,350.3
296,21:51.7,75,15.8,350.1
297,21:59.5,75,65.6,347
298,22:07.2,75,-41.5,352.2
299,22:15.2,75,-25.4,352.2
300,22:23.2,75,-18,352.6
301,22:31.0,75,3.2,351.4
302,22:38.4,75,4,351.4
303,22:46.2,75,3.2,351.4
304,23:00.4,75,4,351
305,23:08.0,75,4.1,351.4
306,23:15.7,75,3.4,351.4
307,23:23.5,75,4.3,351.4
308,23:32.5,75,3.5,351.4
309,23:40.1,75,4,351.1
310,23:54.4,75,23.2,350.1
311,24:02.1,75,3.4,349.8
312,24:09.6,75,11.8,349.7
313,24:17.1,75,18.4,349.7
314,24:24.6,75,-53.1,354.1
315,24:32.1,75,3.4,351.2
316,24:39.8,75,12.8,350.2
317,24:47.3,75,26.8,349.8
318,24:55.3,75,70.5,347
319,25:02.9,74.5,21.7,348.9
320,25:10.1,74.5,-82.2,355.3
321,25:17.6,75,4,350.4
322,25:25.2,75,4,350.8
323,25:32.7,74.5,50.9,348.3
324,25:40.2,74.5,5.2,350.1
325,25:48.2,74.5,-1.8,351
326,25:55.7,74.5,35.7,348.9
327,26:03.2,74.5,33,349.4
328,26:10.7,74.5,7,350.1
329,26:18.2,74.5,-33.3,352.5
330,26:33.2,74.5,10.2,350.3
331,26:47.0,74.5,5.5,350.7
332,27:01.2,74.5,-0.9,350.7
333,27:15.2,74.5,41.7,347.9
334,27:29.0,74.5,39.1,348.4
335,27:43.6,74.5,-20.3,351.4
336,27:57.3,74.5,43,348.2
